Scopus-10150-Analyze-Year

"Your query : (TITLE-ABS-KEY('exercise or physical activity' and 'accelerometer or accelerometry,'))"


Number of results : 10150

"YEAR",
"2018","1265"
"2017","1224"
"2016","1151"
"2015","1141"
"2014","991"
"2013","853"
"2012","723"
"2011","621"
"2010","409"
"2009","355"
"2008","287"
"2007","240"
"2006","171"
"2005","143"
"2004","115"
"2003","104"
"2002","54"
"2001","52"
"2000","45"
"1999","41"
"1998","33"
"1997","32"
"1996","15"
"1995","17"
"1994","8"
"1993","14"
"1992","12"
"1991","7"
"1990","6"
"1989","5"
"1988","4"
"1987","2"
"1986","1"
"1985","2"
"1984","3"
"1983","1"
"1982","1"
"1981","2"
